step_number,food_amount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,2
109,2
110,2
111,2
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,5
155,5
156,5
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,7
180,7
181,7
182,7
183,7
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,7
195,7
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,8
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,8
223,8
224,8
225,8
226,8
227,8
228,8
229,8
230,8
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,10
248,10
249,10
250,10
251,10
252,10
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,11
261,11
262,11
263,11
264,11
265,11
266,11
267,11
268,11
269,12
270,12
271,12
272,12
273,12
274,13
275,13
276,13
277,13
278,14
279,14
280,14
281,14
282,14
283,14
284,14
285,14
286,14
287,15
288,15
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,15
297,15
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,15
313,15
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,16
324,16
325,16
326,16
327,16
328,16
329,16
330,17
331,18
332,18
333,18
334,18
335,18
336,18
337,18
338,19
339,19
340,19
341,19
342,19
343,19
344,19
345,19
346,19
347,19
348,19
349,20
350,20
351,20
352,20
353,20
354,21
355,21
356,21
357,22
358,22
359,22
360,22
361,22
362,23
363,23
364,23
365,23
366,23
367,23
368,23
369,24
370,24
371,24
372,24
373,24
374,24
375,24
376,24
377,24
378,24
379,24
380,25
381,25
382,25
383,25
384,25
385,25
386,25
387,25
388,25
389,25
390,25
391,25
392,25
393,25
394,25
395,25
396,25
397,25
398,25
399,25
400,25
401,25
402,25
403,25
404,26
405,26
406,26
407,26
408,26
409,26
410,26
411,26
412,26
413,26
414,27
415,27
416,27
417,27
418,27
419,27
420,27
421,27
422,28
423,28
424,28
425,28
426,28
427,28
428,28
429,28
430,28
431,28
432,28
433,28
434,28
435,28
436,28
437,28
438,29
439,29
440,29
441,29
442,29
443,29
444,29
445,29
446,30
447,31
448,31
449,31
450,31
451,31
452,33
453,33
454,33
455,33
456,33
457,33
458,33
459,33
460,33
461,33
462,33
463,33
464,33
465,33
466,33
467,33
468,33
469,33
470,33
471,33
472,33
473,33
474,33
475,33
476,33
477,33
478,33
479,33
480,33
481,33
482,33
483,33
484,33
485,33
486,33
487,33
488,34
489,34
490,35
491,35
492,35
493,35
494,35
495,35
496,35
497,35
498,35
499,35
500,35
501,35
502,35
503,35
504,35
505,35
506,35
507,35
508,35
509,35
510,35
511,35
512,35
513,35
514,35
515,35
516,35
517,35
518,35
519,36
520,36
521,36
522,36
523,36
524,36
525,36
526,36
527,36
528,36
529,36
530,36
531,36
